rank,clade,n,intra_avg_euclidean,intra_median_euclidean,intra_std_euclidean,intra_min_euclidean,intra_max_euclidean,intra_avg_shared_proteins,intra_median_shared_proteins,intra_std_shared_proteins,intra_min_shared_proteins,intra_max_shared_proteins
Order,Salasmavirales,15,4.46,4.58,0.7,2.45,6.08,0.47,0.46,0.13,0.23,0.79
Order,Zierdtvirales,26,8.24,7.87,1.45,4.24,10.82,0.37,0.42,0.16,0.16,0.8
Family,Bolasviridae,35,4.92,4.9,0.63,2.65,6.93,0.5,0.5,0.11,0.13,0.83
Family,Kestrosviridae,7,6.48,5.66,1.6,4.9,9.49,0.5,0.6,0.2,0.16,0.69
Family,Sarissaviridae,6,5.84,5.0,1.41,4.47,8.12,0.47,0.59,0.21,0.17,0.66
Family,Axehammerviridae,3,6.15,7.21,1.7,3.74,7.48,0.33,0.16,0.26,0.14,0.7
Family,Gatlingviridae,3,5.65,6.24,0.84,4.47,6.24,0.29,0.18,0.18,0.13,0.54
Family,Yataganviridae,3,6.18,6.32,0.68,5.29,6.93,0.4,0.38,0.08,0.31,0.51
Family,Tantoviridae,2,6.4,6.4,0.0,6.4,6.4,0.33,0.33,0.0,0.33,0.33
Family,Boviridae,2,6.56,6.56,0.0,6.56,6.56,0.2,0.2,0.0,0.2,0.2
Family,Naginataviridae,2,6.56,6.56,0.0,6.56,6.56,0.31,0.31,0.0,0.31,0.31
Family,Ekuviridae,29,8.59,8.54,1.34,4.47,10.86,0.31,0.3,0.14,0.07,0.72
Family,Bombardviridae,29,8.2,8.37,1.16,3.32,10.58,0.34,0.31,0.13,0.16,0.85
Family,Qiangviridae,25,6.65,6.71,0.62,4.36,8.31,0.55,0.55,0.07,0.38,0.8
Family,Shotelviridae,24,4.82,4.8,0.62,2.65,6.71,0.64,0.63,0.08,0.43,0.86
Family,Katarviridae,2,8.43,8.43,0.0,8.43,8.43,0.31,0.31,0.0,0.31,0.31
Family,Rocinanteviridae,2,5.39,5.39,0.0,5.39,5.39,0.64,0.64,0.0,0.64,0.64
Family,Xiphosviridae,17,7.05,6.6,2.2,3.0,10.15,0.3,0.25,0.23,0.06,0.78
Family,Assegaiviridae,16,12.17,13.62,3.46,4.69,15.94,0.33,0.14,0.24,0.11,0.85
Family,Uluviridae,14,6.17,6.16,0.55,4.9,7.55,0.52,0.51,0.06,0.4,0.66
Family,Chakriviridae,13,6.51,6.48,1.27,3.32,9.33,0.46,0.48,0.19,0.06,0.85
Family,Hungamungaviridae,12,5.83,5.79,1.01,3.46,7.94,0.44,0.45,0.15,0.16,0.79
Family,Sagarisviridae,10,6.56,6.93,1.23,3.87,8.25,0.26,0.14,0.19,0.09,0.66
Family,Jitteviridae,9,8.14,8.75,1.8,3.32,10.2,0.27,0.16,0.22,0.09,0.8
Family,Tekkoviridae,9,7.32,7.48,0.68,5.48,8.25,0.44,0.43,0.07,0.33,0.63
Family,Mizrakviridae,8,6.52,7.28,1.52,3.87,8.72,0.3,0.16,0.21,0.08,0.7
Family,Doryviridae,8,5.51,5.56,1.26,3.74,7.48,0.43,0.53,0.22,0.15,0.7
Family,Krisviridae,7,9.14,9.27,1.54,3.87,10.68,0.19,0.14,0.13,0.09,0.66
Family,Nagamakiviridae,5,4.9,4.85,0.39,4.36,5.48,0.59,0.59,0.05,0.53,0.69
Family,Mancatcherviridae,5,7.17,7.55,1.06,4.9,8.19,0.62,0.59,0.1,0.5,0.83
Family,Shuang Gouviridae,5,7.71,6.56,2.55,4.47,10.95,0.44,0.53,0.27,0.12,0.81
Family,Trisulaviridae,4,8.57,8.89,0.74,7.0,9.22,0.19,0.15,0.07,0.15,0.35
Family,Retiariusviridae,4,6.37,6.36,0.79,5.2,7.35,0.55,0.53,0.08,0.45,0.67
Family,Pataviridae,4,10.31,10.46,1.14,8.25,11.75,0.53,0.53,0.06,0.45,0.62
Family,Koraviridae,4,6.71,6.7,0.56,6.08,7.68,0.61,0.61,0.07,0.49,0.68
Family,Yumiviridae,3,8.46,8.89,0.64,7.55,8.94,0.53,0.52,0.08,0.43,0.64
Family,Tetsuboviridae,3,3.91,3.87,0.26,3.61,4.24,0.39,0.38,0.07,0.31,0.48
Family,KauSinKeviridae,3,11.67,11.58,0.63,10.95,12.49,0.56,0.58,0.06,0.48,0.63
Family,Tabarzinviridae,3,12.54,12.49,0.33,12.17,12.96,0.13,0.13,0.02,0.1,0.14
Family,Dahviridae,3,7.62,7.62,0.11,7.48,7.75,0.19,0.19,0.01,0.17,0.19
Family,Amentumviridae,25,12.17,11.36,2.74,7.48,16.09,0.42,0.51,0.23,0.14,0.79
Family,Fipunaviridae,2,4.36,4.36,0.0,4.36,4.36,0.63,0.63,0.0,0.63,0.63
Family,Shinaiviridae,2,4.0,4.0,0.0,4.0,4.0,0.65,0.65,0.0,0.65,0.65
Family,Tamboviridae,2,7.42,7.42,0.0,7.42,7.42,0.57,0.57,0.0,0.57,0.57
Family,Tjotjoviridae,2,7.28,7.28,0.0,7.28,7.28,0.18,0.18,0.0,0.18,0.18
Family,Jambokviridae,2,5.57,5.57,0.0,5.57,5.57,0.57,0.57,0.0,0.57,0.57
Family,Kalashnikovviridae,2,3.61,3.61,0.0,3.61,3.61,0.8,0.8,0.0,0.8,0.8
Family,Catapultviridae,24,5.7,5.48,1.17,3.0,8.72,0.55,0.58,0.16,0.2,0.87
Family,Chakramviridae,22,6.59,6.24,1.33,3.87,9.11,0.44,0.48,0.16,0.13,0.78
Family,Chukonuviridae,21,11.55,12.73,2.66,5.83,14.53,0.33,0.2,0.22,0.13,0.8
Family,Claymoreviridae,21,7.35,7.42,0.61,5.74,8.89,0.42,0.41,0.08,0.23,0.65
Family,Arquebusviridae,114,8.72,8.89,1.0,3.0,10.82,0.32,0.29,0.1,0.16,0.87
Family,Crossbowviridae,21,7.87,8.0,1.41,3.74,11.0,0.39,0.37,0.17,0.15,0.81
Family,Cutlassviridae,19,13.27,13.64,2.25,7.68,16.61,0.3,0.27,0.16,0.13,0.71
Family,Daneaxeviridae,19,13.4,13.11,1.59,8.12,18.03,0.44,0.48,0.12,0.17,0.72
Family,Daoviridae,18,6.25,6.24,0.85,4.0,7.94,0.46,0.47,0.12,0.22,0.77
Family,Derringerviridae,18,7.63,8.06,1.14,4.0,9.43,0.28,0.21,0.15,0.12,0.67
Family,Dirkviridae,16,7.85,8.28,1.54,3.74,10.05,0.35,0.26,0.16,0.17,0.77
Family,Durandalviridae,16,6.93,6.93,0.89,4.36,9.06,0.38,0.38,0.11,0.15,0.72
Family,Dynamiteviridae,15,7.2,7.42,1.03,4.0,8.83,0.38,0.37,0.14,0.13,0.74
Family,Excaliburviridae,15,7.38,7.87,1.34,4.24,9.27,0.35,0.27,0.16,0.17,0.73
Family,Pilumviridae,69,8.14,8.34,1.14,2.83,10.1,0.29,0.26,0.13,0.08,0.89
Family,Falchionviridae,13,6.46,6.82,0.99,4.8,8.0,0.44,0.39,0.14,0.25,0.68
Family,Falconetviridae,13,4.84,4.58,0.99,3.46,7.28,0.57,0.61,0.15,0.22,0.77
Family,Fauchardviridae,13,8.22,8.46,1.08,4.24,9.75,0.31,0.25,0.13,0.18,0.69
Family,Flintlockviridae,12,7.38,7.62,0.75,5.66,8.54,0.27,0.25,0.08,0.14,0.51
Family,Gladiusviridae,12,6.7,6.6,1.42,3.32,9.64,0.42,0.39,0.15,0.19,0.76
Family,Glaiveviridae,12,8.84,9.33,1.93,3.74,11.45,0.31,0.22,0.18,0.13,0.76
Family,Glockviridae,12,7.76,8.03,1.3,5.39,9.7,0.32,0.26,0.14,0.17,0.67
Family,Gramrviridae,11,7.23,7.28,1.26,4.12,9.27,0.4,0.39,0.16,0.15,0.78
Family,Grenadeviridae,11,7.97,7.94,0.89,6.0,9.95,0.36,0.36,0.11,0.19,0.59
Family,Gungnirviridae,11,8.08,7.81,1.32,5.39,10.25,0.34,0.36,0.15,0.14,0.67
Family,Halberdviridae,10,6.12,6.4,1.04,4.0,7.68,0.43,0.35,0.16,0.21,0.72
Family,Howitzerviridae,10,7.34,7.48,0.8,5.0,8.72,0.31,0.29,0.08,0.19,0.66
Family,Incendiarviridae,9,6.1,6.56,1.07,4.12,7.35,0.36,0.28,0.16,0.18,0.67
Family,Javelinviridae,9,6.8,6.75,1.09,4.36,8.89,0.3,0.27,0.11,0.14,0.67
Family,Karambitviridae,9,6.65,6.63,0.94,3.87,7.94,0.35,0.34,0.13,0.18,0.74
Family,Katanaviridae,9,10.82,11.16,1.78,6.71,13.42,0.31,0.26,0.14,0.19,0.71
Family,Ballistaviridae,58,9.28,9.49,1.73,3.87,11.83,0.29,0.22,0.17,0.11,0.81
Family,Kusanagiviridae,7,6.15,5.92,1.12,3.32,7.94,0.46,0.5,0.17,0.21,0.82
Family,Labrysviridae,7,4.83,5.1,0.63,3.46,5.66,0.4,0.35,0.1,0.28,0.61
Family,Laevateinnviridae,7,6.42,6.48,0.67,5.1,7.55,0.35,0.33,0.1,0.23,0.55
Family,Macheteviridae,7,6.56,7.0,0.83,4.8,7.48,0.38,0.31,0.13,0.24,0.59
Family,Mangonelviridae,6,7.06,7.48,1.18,3.74,8.31,0.32,0.26,0.15,0.15,0.7
Family,Masamuneviridae,6,7.13,7.07,0.64,6.08,8.37,0.29,0.28,0.07,0.19,0.42
Family,Matchlockviridae,6,6.12,6.32,0.79,4.47,7.07,0.33,0.28,0.1,0.21,0.5
Family,Mjï¿½lnirviridae,5,11.17,11.89,2.04,7.75,14.0,0.34,0.26,0.16,0.21,0.76
Family,Bardicheviridae,46,7.14,6.16,2.07,3.32,11.14,0.53,0.63,0.21,0.19,0.89
Family,Molotovviridae,5,6.91,7.04,0.54,5.48,7.55,0.34,0.31,0.07,0.27,0.54
Family,Mortarviridae,5,11.66,11.02,1.78,9.33,14.53,0.41,0.46,0.15,0.22,0.62
Family,Muramasaviridae,5,5.39,5.43,0.77,4.24,6.48,0.36,0.34,0.14,0.16,0.59
Family,Wakizashiviridae,4,7.62,7.45,0.58,6.86,8.54,0.28,0.27,0.07,0.2,0.39
Family,Nerfviridae,4,8.14,8.24,1.38,6.08,9.59,0.39,0.36,0.14,0.24,0.58
Family,Nightshadeviridae,4,13.55,14.35,2.15,8.94,15.23,0.32,0.26,0.13,0.24,0.61
Family,Oblivionviridae,4,7.35,7.41,1.07,5.83,8.54,0.34,0.34,0.13,0.2,0.52
Family,Onagerviridae,4,7.23,7.1,1.9,5.1,9.43,0.39,0.38,0.23,0.14,0.64
Family,Pepperboxviridae,4,5.82,6.12,1.08,3.61,6.86,0.35,0.3,0.17,0.2,0.68
Family,Pugioviridae,4,5.43,5.66,0.94,3.46,6.48,0.39,0.36,0.19,0.2,0.72
Family,Bayonetteviridae,46,8.35,8.94,1.56,3.16,10.63,0.31,0.24,0.17,0.1,0.88
Family,Poniardviridae,4,5.49,5.87,1.03,3.61,6.56,0.39,0.33,0.15,0.24,0.68
Family,Parazoniumviridae,3,6.97,7.94,1.46,4.9,8.06,0.38,0.24,0.2,0.23,0.66
Family,Rhomphaiaviridae,3,7.42,7.94,0.96,6.08,8.25,0.35,0.26,0.14,0.25,0.55
Family,Ripwingviridae,3,6.24,6.4,0.64,5.39,6.93,0.36,0.29,0.11,0.28,0.51
Family,Trojanviridae,2,7.14,7.14,0.0,7.14,7.14,0.22,0.22,0.0,0.22,0.22
Family,Scorpionviridae,3,6.73,6.78,0.13,6.56,6.86,0.37,0.33,0.05,0.33,0.44
Family,Scytheviridae,3,6.87,7.07,0.45,6.24,7.28,0.24,0.23,0.04,0.19,0.29
Family,Tabarviridae,3,5.62,6.4,1.33,3.74,6.71,0.38,0.24,0.21,0.22,0.68
Family,Shrapnelviridae,3,5.87,6.63,1.24,4.12,6.86,0.43,0.31,0.17,0.3,0.67
Family,Nagantviridae,2,5.66,5.66,0.0,5.66,5.66,0.33,0.33,0.0,0.33,0.33
Family,Stilettoviridae,3,6.2,7.07,1.48,4.12,7.42,0.38,0.25,0.19,0.24,0.65
Family,Tomahawkviridae,3,10.2,10.68,0.77,9.11,10.82,0.27,0.26,0.04,0.22,0.33
Family,Trebuchetviridae,2,11.05,11.05,0.0,11.05,11.05,0.29,0.29,0.0,0.29,0.29
Family,ZweihÃ¤nderviridae,2,6.93,6.93,0.0,6.93,6.93,0.33,0.33,0.0,0.33,0.33
Family,Estocviridae,2,6.0,6.0,0.0,6.0,6.0,0.31,0.31,0.0,0.31,0.31
Family,Tepoztopilliviridae,2,8.0,8.0,0.0,8.0,8.0,0.19,0.19,0.0,0.19,0.19
Family,Macuahuitlviridae,2,6.08,6.08,0.0,6.08,6.08,0.27,0.27,0.0,0.27,0.27
Family,Urumiviridae,2,8.37,8.37,0.0,8.37,8.37,0.24,0.24,0.0,0.24,0.24
Family,Blunderbussviridae,38,8.72,8.89,1.78,3.61,13.15,0.29,0.22,0.15,0.12,0.79
Family,Ranseurviridae,2,10.77,10.77,0.0,10.77,10.77,0.31,0.31,0.0,0.31,0.31
Family,Thunderstickviridae,2,6.78,6.78,0.0,6.78,6.78,0.22,0.22,0.0,0.22,0.22
Family,Arberviridae,3,5.66,5.66,0.07,5.57,5.74,0.51,0.49,0.02,0.49,0.54
Family,Yariviridae,2,7.81,7.81,0.0,7.81,7.81,0.24,0.24,0.0,0.24,0.24
Family,Runguviridae,100,6.7,7.75,2.32,0.0,9.7,0.41,0.33,0.26,0.09,1.0
Family,Mambeleviridae,95,5.7,5.66,0.65,2.24,8.54,0.53,0.53,0.07,0.22,0.9
Family,Kpingaviridae,29,8.98,8.51,2.33,4.8,14.18,0.47,0.52,0.2,0.1,0.81
Family,Sengeseviridae,8,6.2,6.12,1.09,3.74,7.75,0.31,0.33,0.17,0.1,0.66
Family,Scutumviridae,8,6.99,7.11,1.66,2.65,9.17,0.33,0.25,0.19,0.16,0.87
Family,Ackermannviridae,65,11.23,11.49,1.82,6.24,15.72,0.48,0.48,0.16,0.14,0.82
Family,Aliceevansviridae,133,6.18,6.4,1.2,1.73,8.54,0.38,0.34,0.16,0.11,0.93
Family,Aoguangviridae,3,6.53,6.48,0.13,6.4,6.71,0.17,0.16,0.03,0.14,0.2
Family,Haloferuviridae,4,6.74,6.82,0.2,6.32,6.93,0.19,0.19,0.05,0.11,0.25
Family,Shortaselviridae,3,5.65,5.74,0.19,5.39,5.83,0.16,0.17,0.02,0.14,0.18
Family,Suolaviridae,2,8.49,8.49,0.0,8.49,8.49,0.17,0.17,0.0,0.17,0.17
Family,Sanchoviridae,2,3.16,3.16,0.0,3.16,3.16,0.6,0.6,0.0,0.6,0.6
Family,Arenbergviridae,10,19.62,20.07,3.18,10.2,25.36,0.32,0.29,0.14,0.14,0.69
Family,Assiduviridae,3,7.61,7.48,0.18,7.48,7.87,0.29,0.29,0.04,0.24,0.34
Family,Autographiviridae,26,5.95,5.92,0.66,3.74,8.0,0.29,0.28,0.08,0.14,0.66
Family,Autoscriptoviridae,142,6.75,6.86,0.97,2.83,9.06,0.27,0.23,0.11,0.1,0.83
Family,Autotranscriptaviridae,164,6.01,6.0,0.82,2.45,8.49,0.36,0.35,0.12,0.11,0.89
Family,Casjensviridae,50,7.72,7.87,1.16,3.74,9.85,0.32,0.28,0.13,0.12,0.79
Family,Chimalliviridae_1,44,16.13,16.31,2.67,8.19,22.38,0.2,0.18,0.08,0.08,0.63
Family,Chimalliviridae_2,6,10.33,10.05,1.36,8.06,12.65,0.66,0.7,0.1,0.48,0.79
Family,Demerecviridae,100,11.79,11.22,2.76,2.83,20.02,0.4,0.45,0.18,0.12,0.95
Family,Druskaviridae,8,10.81,11.0,1.18,6.48,12.37,0.15,0.11,0.1,0.07,0.6
Family,Duneviridae,7,5.94,6.24,0.98,4.0,7.42,0.34,0.24,0.18,0.16,0.71
Family,Ekchuahviridae,3,6.64,7.21,1.1,5.1,7.62,0.39,0.3,0.15,0.27,0.59
Family,Forsetiviridae,2,4.69,4.69,0.0,4.69,4.69,0.53,0.53,0.0,0.53,0.53
Family,Fredfastierviridae,4,4.94,5.34,1.19,2.65,6.08,0.32,0.21,0.2,0.14,0.7
Family,Graaviviridae,2,5.66,5.66,0.0,5.66,5.66,0.3,0.3,0.0,0.3,0.3
Family,Mastikaviridae,2,3.74,3.74,0.0,3.74,3.74,0.6,0.6,0.0,0.6,0.6
Family,Grimontviridae,34,10.83,11.45,2.37,4.36,15.33,0.33,0.23,0.18,0.09,0.78
Family,Guelinviridae,9,3.86,4.06,0.76,2.0,5.0,0.36,0.28,0.15,0.22,0.75
Family,Hafunaviridae_2,3,6.68,6.86,0.25,6.32,6.86,0.34,0.34,0.01,0.33,0.36
Family,Hafunaviridae_1,7,7.1,7.14,0.69,5.83,8.43,0.58,0.6,0.05,0.5,0.67
Family,Herelleviridae_1,91,15.87,16.25,3.18,1.41,23.13,0.23,0.16,0.17,0.09,0.99
Family,Herelleviridae_2,12,11.07,11.14,1.45,7.81,13.78,0.3,0.27,0.12,0.17,0.67
Family,Kyanoviridae,70,14.54,14.07,2.42,5.74,24.27,0.31,0.29,0.08,0.15,0.84
Family,Mesyanzhinovviridae_1,14,7.36,8.0,1.63,3.74,9.43,0.42,0.35,0.19,0.18,0.81
Family,Mesyanzhinovviridae_2,10,7.17,7.35,0.84,4.36,8.25,0.31,0.27,0.12,0.19,0.67
Family,Molycolviridae,2,4.9,4.9,0.0,4.9,4.9,0.74,0.74,0.0,0.74,0.74
Family,Orlajensenviridae,21,4.54,4.8,1.09,1.41,6.16,0.31,0.22,0.21,0.06,0.95
Family,Pachyviridae_1,12,8.92,9.85,2.5,3.87,11.75,0.26,0.1,0.27,0.05,0.79
Family,Pachyviridae_2,3,7.44,8.0,1.15,5.83,8.49,0.23,0.14,0.14,0.12,0.44
Family,Peduoviridae,101,5.86,6.0,0.82,2.45,7.94,0.36,0.33,0.12,0.13,0.85
Family,Pigerviridae,15,7.37,8.19,1.63,3.46,8.94,0.19,0.07,0.23,0.01,0.75
Family,Pootjesviridae,11,11.97,12.0,1.52,8.37,14.53,0.39,0.41,0.15,0.13,0.7
Family,Pungoviridae,4,5.84,5.99,1.04,4.47,6.93,0.39,0.37,0.19,0.2,0.62
Family,Rountreeviridae_1,49,4.09,4.12,0.84,1.0,6.08,0.29,0.25,0.15,0.11,0.83
Family,Saffermanviridae,3,4.72,4.9,0.63,3.87,5.39,0.36,0.28,0.12,0.27,0.53
Family,Schitoviridae_1,79,8.48,8.49,1.17,3.32,11.75,0.25,0.23,0.09,0.12,0.85
Family,Schitoviridae_4,4,5.85,6.04,0.56,5.0,6.48,0.6,0.6,0.07,0.49,0.71
Family,Straboviridae,212,15.78,16.17,2.97,6.86,22.8,0.33,0.28,0.17,0.09,0.84
Family,Vertoviridae,3,7.15,7.48,0.47,6.48,7.48,0.35,0.32,0.07,0.28,0.45
Family,Vilmaviridae_2,8,8.85,8.92,1.66,5.29,11.4,0.42,0.41,0.17,0.2,0.77
Family,Winoviridae,5,5.9,6.48,1.42,2.45,7.14,0.37,0.23,0.21,0.18,0.8
Family,Zobellviridae_1,16,6.63,6.56,1.26,3.61,9.0,0.34,0.26,0.18,0.14,0.78
Family,Zobellviridae_2,2,6.93,6.93,0.0,6.93,6.93,0.18,0.18,0.0,0.18,0.18
Family,Wangshuviridae,3,23.49,27.66,6.03,14.97,27.84,0.13,0.13,0.01,0.12,0.13
Family,Victoriapeakviridae,2,6.56,6.56,0.0,6.56,6.56,0.73,0.73,0.0,0.73,0.73
Family,Suoliviridae,36,8.27,8.37,0.91,4.12,10.54,0.3,0.28,0.1,0.1,0.77
Family,Ditsö̀viridae,3,6.79,8.06,1.98,4.0,8.31,0.3,0.15,0.23,0.13,0.62
Family,Boinayelviridae,2,5.2,5.2,0.0,5.2,5.2,0.13,0.13,0.0,0.13,0.13
Family,Phobetorviridae,5,4.81,4.95,0.53,3.87,5.39,0.18,0.18,0.04,0.09,0.25
Family,Surtviridae,2,5.0,5.0,0.0,5.0,5.0,0.17,0.17,0.0,0.17,0.17
Family,Buruviridae,2,4.0,4.0,0.0,4.0,4.0,0.66,0.66,0.0,0.66,0.66
Family,Koyopa'viridae,2,4.9,4.9,0.0,4.9,4.9,0.6,0.6,0.0,0.6,0.6
Family,Cordeliaviridae,5,5.92,6.08,1.01,4.0,7.55,0.48,0.43,0.12,0.36,0.7
Family,Gridrviridae,2,5.57,5.57,0.0,5.57,5.57,0.5,0.5,0.0,0.5,0.5
Family,Hativiridae,2,6.0,6.0,0.0,6.0,6.0,0.49,0.49,0.0,0.49,0.49
